ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS
 21898349,Quebraram a tela do meu Notebook,Hidrolândia - CE,2016-02-11,Ibyte - Loja Física<->Informática,Resolvido,Em 05/10/2016 deixei meu Notebook para consertarem o HD na Loja da Ibyte 13 de Maio em Fortaleza / CE. Após análise técnica me ligaram informando que o HD não tinha mais conserto. Portanto precisaria comparecer à loja para comprar um novo. Assim fiz e me deram um prazo de 2 dias pra buscar o PC. Para minha surpresa me ligam dizendo que a tela estava quebrada. UM ABSURDO! Estou com a laudo da entrega do PC na loja e nada diz que a tela estava quebrada. Caso não resolvam por esse canal irei ao PROCON e ao JUIZADO de pequenas causas. Isso é uma afronta ao Código do Consumidor. Palhaçada ??,https://www.reclameaqui.com.br//ibyte-loja-fisica/quebraram-a-tela-do-meu-notebook_MMADHXx07nD1ijPH/,2016,2,11,42,6,3,1,1
 22581481,Solicitação de Cancelamento de Compra,Araxá - MG,2016-03-12,Não consigo fazer operação por telefone<->Canais de Atendimento<->Ibyte - Loja Física<->Problemas com o Atendimento,Em réplica,"Prezados, efetuei uma compra no site www.americanas.com da TV supracitada, porém desisti da mesma e não consigo efetuar o cancelamento do pedido. O número 4003-4848 é somente eletrônico e não nos dá a opção de conversar com um atendente para efetivar o referido cancelamento.  Enviei e-mail para o site solicitando o cancelamento e não obtive resposta. Solicito o cancelamento imediato da compra, com estorno do cartão de crédito. Com a finalidade de evitar recusa no recebimento da mercadoria, peço que seja atendida a minha solicitação o quanto antes. Procurei uma solução na loja física, porém eles não demonstraram interesse algum em resolver o problema. Todos os canais possíveis foram tentados e sem sucesso. Ibyte, cuidado com essas parcerias. No aguardo, Cíntia Araújo",https://www.reclameaqui.com.br//ibyte-loja-fisica/solicitacao-de-cancelamento-de-compra_7uAY4VpZ0zhkoLLh/,2016,3,12,72,10,5,1,2
 22579385,Inutilizarão a tela do meu notebook,Fortaleza - CE,2016-03-12,Problemas na Loja<->Ibyte - Loja Física<->Produto danificado<->Entrega,Respondida,"Decidi conserta meu notebook que parou de iniciar por causa do HD, então o levei pra Ibyte da Avenida Dom Luís, recebi o parecer técnico  que disse ter problema no HD e na tela (descrito como está com listras na tela que era a tela da metade pra baixo tinha uma coloração mais forte em vermelho e algumas listras cujo tinha aparecido a 3 anos dos 5 anos que eu o comprei), Concordei com o a troca do HD. Hoje quando fui pegar vi o desastre da tela que agora tava completamente distorcida e cores estranhas. Nem falando com o gerente pra cancela o serviço não adiantou, infelizmente ele nem teve interesse de ir olhar o problema com os próprios olhos, simplesmente disse que não ia fazer nada porque o serviço da troca do HD já tinha ocorrido e a tela já tinha problema, agora meu conserto simples ia chegar a 900 reais com essa tela... preferia ter juntado pra comprar um novo dessa forma. O pior foi ao sair de lá eles fecharão o notebook na minha frente deixando-o de cabeça pra baixo desnivelado usando força por causa dos parafusos de trás... eu já coloquei ele em mochila e levei de um lado pra outro nesses 3 anos e nunca foi um problema. Levei um computador e recebi um teclado parece  não é só os correios que você deve ter cuidado.",https://www.reclameaqui.com.br//ibyte-loja-fisica/inutilizarao-a-tela-do-meu-notebook_Kef9tiGYsVDf3r3O/,2016,3,12,72,10,5,1,2
 21328791,Produto não faz o que vendedor informa!,Fortaleza - CE,2016-04-10,Ibyte - Loja Física<->Impressoras<->Produto errado<->Informática,Em réplica,"Venho através desde canal de reclamação expor minha indignação sobre a empresa Ibyte onde a loja física fica na rua Senador Pompeu no centro de fortaleza. o fato ocorreu no 03/10/2016 quando fui comprar um impressora que imprima frente e verso, a vendedora informou que a impressora Brother DCP-T300 InkTank, realizava o processo de impressão duplex ou seja frente e verso, ao chegar em casa identifico no manual e na internet que essa impressora não faz esse procedimento, fui na loja trocar por outra, contudo a unica na loja que faz esse procedimento é uma HP que é 300 reais mais barato, eu solicitei o estorno da compra pois foi feito em menos de 24 horas, e em seguida iria passar no cartão essa HP mesmo, pois eu preciso de uma impressora que imprima frente e verso, me informaram que a compra foi feita em loja física e não será feito o estorno mesmo sendo em menos de 24 horas de compra pois eu tive a oportunidade de ver o produto, contudo eu fui enganado pois a vendedora percebeu que eu estava comprando o produto devido a função de impressão duplex, e não me passou as informações verdadeiras, não tem nas prateleiras da loja nada falando sobre os tipos de impressões que a cuja impressora faz. me senti muito enganado, a gerente disse que tocaria a impressora pela mais barata e eu teria que levar algum produto para fechar o valor restante, proposta essa que não aceitei, pegou um livro do CDC e disse que eu não tenho direito de trocar pois eu vi o produto, mas nenhum momento  a vendedora informou que a impressora não realiza essa função, deixei o produto na loja levei a nota fiscal para casa, desejo uma resposta da administração da ibyte, não tenho necessidade de correr atras de indenizações, contudo informo que vou até as ultimas instâncias para estornar essa compra, a impressora não foi violada em nada não foi instalada, nem os cartuchos foram inseridos, devolvi na loja e vou entrar com uma ação contra a empresa, caso não resolvam esse impasse.",https://www.reclameaqui.com.br//ibyte-loja-fisica/produto-nao-faz-o-que-vendedor-informa_YlkhiJsQHUam_vz1/,2016,4,10,101,14,6,2,1
 22608043,Ibyte não troca o produto,Fortaleza - CE,2016-05-12,Smartphone<->Celulares e Smartphones<->Blackfriday<->Problemas de sinal<->Ibyte - Loja Física,Respondida,Comprei um celular na black Friday e com 4 dias ele apresentou um problema de sinal não faz nem recebe chamadas fui na loja trocar e a loja não trocou o aparelho. Até hoje estou com o sparelho com o problema a assistência não resolveu. E a Ibyte me disse que não tenho direito de troca de nem um dia depois da compra.,https://www.reclameaqui.com.br//ibyte-loja-fisica/ibyte-nao-troca-o-produto_OJhKA6gUwtw4uMux/,2016,5,12,133,19,3,2,2
 22599323,Prazo de Envio,Belo Horizonte - MG,2016-05-12,"Acessórios para Celulares, Tablets e Computadores<->Ibyte - Loja Física",Em réplica,"Prezados,Comprei um relógio garmin para dar de presente no meio de novembro. O submarino me pediu um prazo até 7 de dezembro. O site do submarino só avisa que está com a transportadora, portanto entrei em contato com a empresa e me passaram o codigo de rastreio. Vendo o código objeto veio de fortaleza, ficou em belo horizonte nos correios daqui e não sei porquê sexta dia 02/12 foi para são josé do rio preto, creio que o relógio não estará aqui até dia 07. Como comprei o relógio para presente se não tiver aqui até dia 07/12 solicito o cancelamento da compra.  Porque um produto não pode demorar tanto tempo para chegar.obrigado.Rodrigo Berlini",https://www.reclameaqui.com.br//ibyte-loja-fisica/prazo-de-envio_482rWFEovXBjVWhS/,2016,5,12,133,19,3,2,2
 20766889,"IBYTE não quer restituir meu dinheiro, produto com DEFEITO",Fortaleza - CE,2016-06-09,Outros<->Ibyte - Loja Física<->Eletroeletrônicos<->Lentidão-travamento,Resolvido,"Dia 27/08/16 comprei um tablet GOLDENTEC 8GB 7 and. 4.4 para dar de presente à minha mãe, no mesmo lugar e dia  comprei também um outro tabet samsung e um celular lg. Ao chegar em casa coloquei todos para carregar. Em cerca de uma hora a bateria do celular e samsung estavam em nível quase cheio enquanto que o TABLET GOLDENTEC nem deu sinal de vida. Resumindo: o tablet GOLDENTEC só foi carregar 100% às 14h do dia seguinte 28/08/16. E eu já havia trocado de tomada 3 vezes. Quando liguei o aparelho o mesmo estava lento, travando e não carregava vídeos e nem páginas da internet. Na mesma hora fui até a loja IBYTE SHOPPING PARANGABA FORTALEZA, pois lá me informaram que qualquer problema com o tablet seria resolvido lá mesmo. O tablet GOLDENTEC ficou lá para averiguação na assistência técnica da loja. Passado uns 3 dias me ligaram para eu pegar. Disseram que realmente o tablet estava com defeito e que tinha sido trocado. PORÉM eu não vi a troca, quando cheguei lá a funcionária já estava com ele nas mãos, a caixa estava aberta e a película de proteção estava com sinal de que tinha sido removida e colocada de volta, ou seja, não parece ter sido trocado mas sim mexido, para isso teriam que me mostrar que a caixa estava lacrada e abrir na minha frente. Voltei para casa, o tablet tinha sido carregado na loja e estava ligado, a funcionária não testou na minha frente, pois disse que eu teria que fazer as configurações pessoais. Ao conectar à internet e abrir as páginas da web, tudo certo só que depois de alguns minutos começou a travar de novo, os vídeos não carregavam direito e em seguida tudo travou e as páginas fecharam. Instalei antivirus que tenho em vários aparelhos e mesmo assim não funcionou. O que era para ser um presente causou frustração e constrangimento. Voltei ontem  05/09/2016 na loja para devolver o produto visto que o produto não teve seu vício sanado e pedir a restituição do dinheiro pago, como compete o art. 18 § 1, II do Código do Consumidor. A loja me informa que NÃO DEVOLVE DINHEIRO apenas dá um crédito no mesmo valor para comprar e que eu teria que deixar novamente na assistência técnica para uma nova verificação,ou seja, vou continuar perdendo meu tempo indo todo tempo na loja para levar e trazer algo que não é resolvido, enquanto que o presente que eu daria à minha mãe passou a ser aborrecimento. Quero meu dinheiro de volta! Comprei o tablet, POIS ERA UM PRESENTE e não vou comprar outra coisa no mesmo valor até porque eu já comprei lá um tablet, celular, capas, cartão de memória e não preciso de mais nada. Se há uma lei ela tem que ser cumprida, pois se não a loja vai perder clientes!Estou no meu direito! Errado é a loja fornecer produto com defeito, não sanar o vício e o consumidor ficar com esse problema.",https://www.reclameaqui.com.br//ibyte-loja-fisica/ibyte-nao-quer-restituir-meu-dinheiro-produto-com-defeito_gSFOUrPeT3d3lCVd/,2016,6,9,161,23,3,2,1
 22662001,[Editado pelo Reclame Aqui],Fortaleza - CE,2016-06-12,"Acessórios para Celulares, Tablets e Computadores<->HDs externos e pen drives<->Ibyte - Loja Física<->Propaganda enganosa",Em réplica,"A exatamente 3 anos, adquiri um HD Externo Portátil Seagete 1Tb, na loja Ibyte. A alguns meses tive um problema com esse HD, então resolvi trocar o HD e reutilizar a case, mas quando abro a case, não tinha um HD Seagate e sim um HD Samsung, não há diferença na utilização, mas sim na qualidade e valor do produto. Como podemos comprovar se estamos adquirindo o produto correto se não podemos desmonta-lo, é óbvio que temos de confiar na case do produto e da boa pratica de revenda da loja. Entrei em contato com a Ibyte dia 04/12/2016 mas não recebi nenhum retorno. Muitos podem ter sido enganados e podem estar sendo enganados até hoje. Qual a posição da empresa quanto a esse ocorrido?O HD está intacto, podem comprovar pelo adesivo térmico ao redor do HD.",https://www.reclameaqui.com.br//ibyte-loja-fisica/titulo_2oycwQmgZumFwYow/,2016,6,12,164,23,6,2,2
 22644003,Previsão de Entrega Alta Demais Com produto na Transportadora,Osasco - SP,2016-06-12,Ibyte - Loja Física<->Atraso na entrega<->Informática<->Multifuncionais,Resolvido,"Comprei uma Multifuncional cujo pagamento do boleto foi efetuado em 01/12 com pagamento autorizado em 02/12, produto em transporte em 05/12 e previsão de entrega para 22/12. Estou precisando urgente do produto, pois a minha multifuncional quebrou. Não posso esperar um prazo tão grande assim, algo absurdo. Meu produto pode até sofrer avaria, caso ele fique dentro do caminhão aguardando uma oportunidade de entrega.",https://www.reclameaqui.com.br//ibyte-loja-fisica/previsao-de-entrega-alta-demais-com-produto-na-transportadora_476Ny7deDGvLzXoT/,2016,6,12,164,23,6,2,2
 21975589,Funcionário Sombra,Juazeiro do Norte - CE,2016-07-11,Comportamento do profissional<->Ibyte - Loja Física<->Equipe de Atendimento<->Problemas com o Atendimento,Não resolvido,"Não existe algo mais constrangedor do que um funcionário que fica lhe seguindo por toda loja, a Ibyte orienta os funcionários a ficar todo o tempo seguindo o cliente dentro da loja.Qual o motivo? Deve ser desconfiança.Fica aqui minha reclamação para tentar rever os conceitos de atendimento ao cliente.",https://www.reclameaqui.com.br//ibyte-loja-fisica/funcionario-sombra_0TitrcGoriJT3nwl/,2016,7,11,193,28,0,3,1
